 |       | #it{tHq}      | #it{tWH}      | #it{tWZ}      | #it{t#bar{t}}      | #it{t#bar{t}W}      | #it{t#bar{t}Z}      | #it{t#bar{t}H}      | #it{tZq}      | #it{tW}      | Z+jets      | Diboson      | minor bkgs      | minor bkgs |
 | Luminosity |    NA    | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 |
 | Pile-up rew. |    NA    | -0.00803525 / 0.00803525 | 0 / 0 | 0.00585203 / -0.00585211 | -3.33067e-16 / -2.22045e-16 | -0.00710956 / 0.00710953 | -0.0069152 / 0.00691523 | 0 / 0 | 0 / 0 | 0.0153767 / -0.0153767 | 0.0050248 / -0.00502475 | 0.0323241 / -0.0323241 | 0 / 0 |
 | JER EffectiveNP 1 |    NA    | 0.0143791 / -0.0143791 | -0.00912543 / 0.00912546 | 0.0238594 / -0.0238594 | -0.0525502 / 0.0525503 | -0.0146343 / 0.0146344 | -0.00840785 / 0.00840788 | -0.0054601 / 0.00546008 | -0.00539436 / 0.00539436 | 0.03434 / -0.03434 | 0.0111773 / -0.0111773 | 0.0678014 / -0.0678014 | 0 / 0 |
 | JER EffectiveNP 2 |    NA    | 0.07098 / -0.07098 | 0 / 0 | -0.0114101 / 0.0114101 | -0.0486059 / 0.0486059 | 0 / 0 | 0.0101455 / -0.0101454 | 0 / 0 | -0.0488082 / 0.0488082 | 0 / 0 | -0.0117802 / 0.0117802 | 0.0683883 / -0.0683883 | 0.00964287 / -0.00964285 |
 | JER EffectiveNP 3 |    NA    | -0.01948 / 0.01948 | 0 / 0 | 0 / 0 | -0.0639051 / 0.0639051 | 0.00646292 / -0.00646295 | -0.00551049 / 0.00551052 | 0 / 0 | 0 / 0 | -0.0160534 / 0.0160534 | 0 / 0 | -0.122937 / 0.122937 | -0.0298592 / 0.0298592 |
 | JER EffectiveNP 4 |    NA    | -0.0218663 / 0.0218663 | 0 / 0 | 0 / 0 | -0.0573518 / 0.0573518 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0.0167093 / -0.0167092 | -0.0118882 / 0.0118882 | -0.00628217 / 0.00628223 | -0.120666 / 0.120666 | 0 / 0 |
 | JER EffectiveNP 5 |    NA    | 0.0329279 / -0.0329279 | 0 / 0 | 0 / 0 | -0.0616584 / 0.0616584 | 0 / 0 | 0 / 0 | 0.00531985 / -0.00531987 | 0.022131 / -0.022131 | 0 / 2.22045e-16 | 0 / 0 | 0.00720061 / -0.00720064 | -0.0103782 / 0.0103782 |
 | JER EffectiveNP 6 |    NA    | -0.0223705 / 0.0223706 | 0 / 0 | 0 / 0 | -0.0675742 / 0.0675742 | 0 / 0 | 0.00616142 / -0.00616139 | 0 / 0 | 0.0189938 / -0.0189938 | 0.0127822 / -0.0127822 | 0 / 0 | 0 / 0 | 0.0443627 / -0.0443627 |
 | JER EffectiveNP 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | -0.0552495 / 0.0552495 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.005567 / 0.00556695 | 0.0656339 / -0.0656339 | 0.00504513 / -0.00504522 |
 | JES pileup offset #mu |    NA    | -0.0286818 / 0.0286818 | -0.00983859 / 0.00983853 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | -0.0109917 / 0.0109918 | -0.01199 / 0.0119899 | -0.00523306 / 0.00523304 | 0.00714741 / -0.00714741 | 0.0203229 / -0.0203229 | 0 / 0 | -0.0326671 / 0.0326671 | -0.0175958 / 0.0175957 |
 | JES pileup #rho topology |    NA    | -0.0158797 / 0.0158797 | -0.00671038 / 0.0067104 | 0.00531246 / -0.00531254 | -2.22045e-16 / -2.22045e-16 | -0.0174451 / 0.0174451 | -0.0202699 / 0.0202699 | 0 / -1.11022e-16 | 0.0152068 / -0.0152068 | 0.0530215 / -0.0530215 | 0.0281832 / -0.0281831 | 0.0688863 / -0.0688863 | -0.055318 / 0.055318 |
 | JES flavour composition |    NA    | -0.0289893 / 0.0289893 | -0.0137487 / 0.0137486 | 0.00666657 / -0.00666665 | -2.22045e-16 / -2.22045e-16 | -0.0233044 / 0.0233044 | -0.0252275 / 0.0252275 | 0 / 0 | 0 / 0 | 0.0457688 / -0.0457688 | 0.0235356 / -0.0235357 | 0.0648428 / -0.0648427 | -0.0704637 / 0.0704637 |
 | JES relative non-closure AFII |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0107809 / 0.0107809 |
 | b-tag Eigenvar. 0 |    NA    | -0.00816893 / 0.00816893 | -0.0100385 / 0.0100384 | -0.0150172 / 0.0150172 | -0.00532207 / 0.00532208 | -0.00716813 / 0.00716822 | -0.0051083 / 0.00510833 | -0.0111874 / 0.0111873 | -0.0143536 / 0.0143536 | -0.0161322 / 0.0161322 | -0.011293 / 0.011293 | -0.00953665 / 0.00953668 | 0.0149572 / -0.0149572 |
