 |       | #it{tHq}      | #it{tWH}      | #it{tWZ}      | #it{t#bar{t}}      | #it{t#bar{t}W}      | #it{t#bar{t}Z}      | #it{t#bar{t}H}      | #it{tZq}      | #it{tW}      | Z+jets      | Diboson      | minor bkgs      | minor bkgs |
 | Luminosity |    NA    | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 |
 | Pile-up rew. |    NA    | -0.0079665 / 0.00796596 | 0 / 0 | 0.00580192 / -0.00580228 | -2.09819e-05 / 2.0929e-05 | -0.00705147 / 0.00705101 | -0.00685603 / 0.00685566 | 0 / 0 | 0 / 0 | 0.0152449 / -0.0152469 | 0.00498178 / -0.00498193 | 0.032047 / -0.0320556 | 0 / 0 |
 | JER EffectiveNP 1 |    NA    | 0.0126353 / -0.0126504 | -0.00804422 / 0.00803826 | 0.0209439 / -0.0209858 | -0.0465191 / 0.0463278 | -0.0129069 / 0.0128916 | -0.00740676 / 0.00740171 | -0.00480843 / 0.00480627 | -0.0047505 / 0.0047484 | 0.0301466 / -0.0302344 | 0.00982691 / -0.00983606 | 0.059227 / -0.0595771 | 0 / 0 |
 | JER EffectiveNP 2 |    NA    | 0.0703283 / -0.0703472 | 0 / 0 | -0.0113019 / 0.0113011 | -0.0481326 / 0.0481151 | 0 / 0 | 0.0100413 / -0.0100419 | 0 / 0 | -0.0482298 / 0.0482122 | 0 / 0 | -0.0116774 / 0.0116764 | 0.067756 / -0.0677739 | 0.00954048 / -0.00954099 |
 | JER EffectiveNP 3 |    NA    | -0.01832 / 0.0183064 | 5.58601e-06 / -5.60361e-06 | 0 / 0 | -0.0600299 / 0.0598739 | 0.00609227 / -0.00609374 | -0.00518478 / 0.00518375 | 0 / 0 | 0 / 0 | -0.015126 / 0.0151168 | 0 / 0 | -0.115283 / 0.114655 | -0.0280717 / 0.0280394 |
 | JER EffectiveNP 4 |    NA    | -0.020371 / 0.0203432 | 5.52044e-06 / -5.54253e-06 | 0 / 0 | -0.0534599 / 0.0532652 | 0 / 0 | 0 / 0 | 1.59227e-05 / -1.60056e-05 | 0.0155645 / -0.0155803 | -0.0111042 / 0.011096 | -0.00585219 / 0.00584997 | -0.112499 / 0.111611 | 0 / 0 |
 | JER EffectiveNP 5 |    NA    | 0.0288245 / -0.0289195 | 0 / 0 | 2.73758e-06 / -2.74404e-06 | -0.0544833 / 0.0541655 | 0 / 0 | 1.47439e-05 / -1.46409e-05 | 0.00466993 / -0.00467239 | 0.0193942 / -0.0194369 | 2.33939e-05 / -2.34555e-05 | 0 / 0 | 0.00631972 / -0.00632423 | -0.00912482 / 0.0091156 |
 | JER EffectiveNP 6 |    NA    | -0.0219197 / 0.021912 | 0 / 0 | -1.38046e-06 / 1.38363e-06 | -0.066261 / 0.0661959 | 0 / 0 | 0.00603179 / -0.00603238 | 0 / 0 | 0.0185866 / -0.0185926 | 0.0125263 / -0.012529 | 0 / 0 | 0 / 0 | 0.0433757 / -0.0434099 |
 | JER EffectiveNP 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | -0.0548041 / 0.0547796 | -3.73715e-07 / 3.7258e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00552267 / 0.00552238 | 0.065121 / -0.065152 | 0.00500505 / -0.00500533 |
 | JES pileup offset #mu |    NA    | -0.0280877 / 0.028072 | -0.00963063 / 0.0096287 | 0 / 0 | 1.77433e-05 / -1.76736e-05 | -0.0107597 / 0.0107574 | -0.0117371 / 0.0117343 | -0.00514026 / 0.0051397 | 0.00699358 / -0.00699459 | 0.0198893 / -0.0198975 | 0 / 0 | -0.0319934 / 0.0319731 | -0.017227 / 0.0172209 |
