 |       | #it{tHq}      | #it{tWH}      | #it{tWZ}      | #it{t#bar{t}}      | #it{t#bar{t}W}      | #it{t#bar{t}Z}      | #it{t#bar{t}H}      | #it{tZq}      | #it{tW}      | Z+jets      | Diboson      | minor bkgs      | minor bkgs |
 | Luminosity |    NA    | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 |
 | Pile-up rew. |    NA    | 0.0110149 / -0.0110149 | 0 / 0 | 0.0101193 / -0.0101193 | -0.00647539 / 0.00647538 | -0.00768605 / 0.00768602 | -0.00631549 / 0.00631544 | -0.00589353 / 0.00589352 | 0.0156106 / -0.0156106 | 0.0353785 / -0.0353786 | 0.00972155 / -0.00972156 | 0.0719481 / -0.071948 | -0.0181978 / 0.0181977 |
 | Forward Jet-Vertex-Tagger (fJVT) |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00692463 / 0.00692466 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JER DataVsMC AFII |    NA    | 0.00539084 / -0.00539084 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0149154 / -0.0149154 |
 | JER EffectiveNP 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | -0.0663891 / 0.066389 | -0.00725726 / 0.00725724 | -0.00752834 / 0.00752829 | 0 / 0 | 0.0155973 / -0.0155974 | 0.096683 / -0.096683 | -0.00611811 / 0.00611818 | -0.0747756 / 0.0747757 | -0.0322826 / 0.0322826 |
 | JER EffectiveNP 2 |    NA    | -0.00903671 / 0.00903671 | 0 / 0 | 0 / 0 | -0.0627512 / 0.0627512 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -0.0073287 / 0.00732867 | 0.0409288 / -0.0409287 | -0.0121989 / 0.0121989 | -0.160205 / 0.160205 | 0 / 0 |
 | JER EffectiveNP 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | -0.0580606 / 0.0580606 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | -0.00748916 / 0.00748916 | 0 / 0 | -0.058052 / 0.058052 | 0.00853096 / -0.00853097 | 0.204509 / -0.204509 | 0.023184 / -0.023184 |
 | JER EffectiveNP 6 |    NA    | -0.00558411 / 0.00558411 | 0 / 0 | 0 / 0 | -0.0557786 / 0.0557786 | 0.0106762 / -0.0106761 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0151144 / 0.0151144 | 0.00516019 / -0.00516021 |
 | JER EffectiveNP 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | -0.0620017 / 0.0620016 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0310712 / 0.0310712 | 0.00996055 / -0.00996056 | 0.197958 / -0.197958 | -0.00740711 / 0.00740715 |
 | JER EffectiveNP 1 |    NA    | -0.00745452 / 0.00745451 | 0 / 0 | 0 / 0 | -0.0576957 / 0.0576956 | 0 / 0 | 0 / 0 | -0.00515032 / 0.00515032 | -1.11022e-16 / 0 | -0.0186622 / 0.0186623 | -0.0141646 / 0.0141646 | 0 / 0 | -0.00554336 / 0.00554333 |
 | JER EffectiveNP 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | -0.0600997 / 0.0600997 | 0 / 0 | 0 / 0 | 0.00563132 / -0.00563133 | 0 / 0 | -0.00829278 / 0.00829282 | 0.0103769 / -0.010377 | 0 / 0 | 0 / 0 |
 | JER EffectiveNP 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | -0.0617422 / 0.0617422 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0104169 / 0.0104169 | 0.0169981 / -0.0169981 | 0 / 0 |
 | JES pileup offset NPV |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00516184 / 0.00516182 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0134375 / -0.0134375 | 0.0112103 / -0.0112103 | -0.0454336 / 0.0454337 | -0.020103 / 0.0201029 |
