 |       | #it{tHq}      | #it{tWH}      | #it{tWZ}      | #it{t#bar{t}}      | #it{t#bar{t}W}      | #it{t#bar{t}Z}      | #it{t#bar{t}H}      | #it{tZq}      | #it{tW}      | Z+jets      | Diboson      | minor bkgs      | minor bkgs |
 | Luminosity |    NA    | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 |
 | Pile-up rew. |    NA    | 0.0109205 / -0.0109215 | 0 / 0 | 0.0100327 / -0.0100335 | -0.00641998 / 0.00641962 | -0.00762029 / 0.00761976 | -0.00626145 / 0.00626106 | -0.0058431 / 0.0058428 | 0.0154768 / -0.0154788 | 0.0350752 / -0.0350855 | 0.00963829 / -0.00963908 | 0.0713307 / -0.0713724 | -0.0180422 / 0.0180394 |
 | Forward Jet-Vertex-Tagger (fJVT) |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00687747 / 0.00687719 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JER DataVsMC AFII |    NA    | 0.00535488 / -0.00535508 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0148154 / -0.0148169 |
 | JER EffectiveNP 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | -0.0588586 / 0.0585566 | -0.00639236 / 0.00638856 | -0.00662772 / 0.0066236 | -4.38049e-05 / 4.39047e-05 | 0.0137201 / -0.013738 | 0.0841847 / -0.0849125 | -0.00538829 / 0.00538566 | -0.0663549 / 0.0659746 | -0.0285183 / 0.028445 |
 | JER EffectiveNP 2 |    NA    | -0.00893707 / 0.00893656 | 0 / 0 | 3.03616e-06 / -3.02252e-06 | -0.0619903 / 0.0619595 | 3.30335e-05 / -3.32021e-05 | 0 / 0 | -6.21559e-05 / 6.22455e-05 | -0.00724817 / 0.0072478 | 0.0405234 / -0.0405312 | -0.0120636 / 0.0120627 | -0.157987 / 0.157709 | 0 / 0 |
 | JER EffectiveNP 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | -0.054538 / 0.0544104 | -1.60458e-05 / 1.59928e-05 | 0 / 0 | -0.00704602 / 0.00704405 | -1.55275e-05 / 1.54434e-05 | -0.0545299 / 0.0544023 | 0.00803064 / -0.00803313 | 0.194225 / -0.195199 | 0.0218359 / -0.0218538 |
 | JER EffectiveNP 6 |    NA    | -0.00546868 / 0.00546817 | 0 / 0 | 0 / 0 | -0.0547114 / 0.0546661 | 0.0104501 / -0.0104519 | 0 / 0 | 2.12314e-05 / -2.17222e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0148064 / 0.0148028 | 0.00505179 / -0.00505224 |
 | JER EffectiveNP 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | -0.0612761 / 0.0612349 | -1.70072e-05 / 1.70006e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0306916 / 0.0306808 | 0.00983192 / -0.00983309 | 0.194729 / -0.195294 | -0.00730717 / 0.00730661 |
 | JER EffectiveNP 1 |    NA    | -0.00737227 / 0.00737166 | 0 / 0 | 0 / 0 | -0.0570873 / 0.0570522 | 0 / 0 | 0 / 0 | -0.00505549 / 0.00505515 | -3.33578e-06 / 3.33876e-06 | -0.0184584 / 0.0184547 | -0.0140092 / 0.0140071 | 0 / 0 | -0.00548209 / 0.00548173 |
