 |       | #it{tHq}      | #it{tWH}      | #it{tWZ}      | #it{t#bar{t}}      | #it{t#bar{t}W}      | #it{t#bar{t}Z}      | #it{t#bar{t}H}      | #it{tZq}      | #it{tW}      | Z+jets      | Diboson      | minor bkgs      | minor bkgs |
 | Luminosity |    NA    | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 |
 | Pile-up rew. |    NA    | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0.00940595 / -0.00940588 | -0.0059093 / 0.00590932 | -0.00726941 / 0.00726948 | -0.0068146 / 0.00681459 | -0.00576919 / 0.00576923 | 0.0139183 / -0.0139183 | 0.0163052 / -0.0163052 | 0.00535629 / -0.00535629 | 0.0438538 / -0.0438538 | -0.0122464 / 0.0122464 |
 | Forward Jet-Vertex-Tagger (fJVT) |    NA    | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00510668 / -0.00510674 | 0 / 0 | 0 / -1.11022e-16 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 |
 | JER EffectiveNP 3 |    NA    | -0.00590168 / 0.00590166 | -2.22045e-16 / 0 | 2.22045e-16 / 2.22045e-16 | -0.058459 / 0.0584591 | 0 / 0 | 0 / 0 | -5.55112e-16 / -2.22045e-16 | 2.22045e-16 / 4.44089e-16 | -0.0190188 / 0.0190188 | 0 / 2.22045e-16 | -0.026012 / 0.026012 | 0.00573403 / -0.00573404 |
 | JER EffectiveNP 6 |    NA    | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | -0.057654 / 0.057654 | 0.00506802 / -0.00506806 | 0 / 0 | -3.33067e-16 / -3.33067e-16 | 2.22045e-16 / 4.44089e-16 | 0.0114043 / -0.0114043 | 0 / 0 | -0.0119752 / 0.0119752 | 0.0165653 / -0.0165653 |
 | JER EffectiveNP 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | -0.0598631 / 0.0598631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0.0271271 / -0.0271272 | 0 / 0 |
 | b-tag Eigenvar. 0 |    NA    | -0.00981818 / 0.00981817 | -0.00995465 / 0.00995468 | -0.0109449 / 0.0109449 | -0.0072012 / 0.00720123 | -0.00694594 / 0.0069459 | -0.00616894 / 0.00616893 | -0.01112 / 0.01112 | -0.014195 / 0.0141949 | -0.0157503 / 0.0157503 | -0.0107605 / 0.0107605 | -0.00995575 / 0.00995573 | 0.0113376 / -0.0113376 |
 | light-tag Eigenvar. 0 |    NA    | -0.00561649 / 0.00561648 | -0.00830264 / 0.00830267 | -0.00893878 / 0.00893876 | -0.00751371 / 0.00751374 | -0.00875204 / 0.008752 | -0.00742706 / 0.00742705 | -0.00545126 / 0.0054512 | -0.00932539 / 0.00932541 | -0.0277707 / 0.0277707 | -0.0210019 / 0.0210019 | -0.0298186 / 0.0298186 | -0.00833799 / 0.00833798 |
 | Electron ID eff. |    NA    | 0.0115337 / -0.0115337 | 0.0101678 / -0.0101678 | 0.00939341 / -0.00939342 | 0 / 0 | 0.0101237 / -0.0101237 | 0.0109744 / -0.0109744 | 0.00924312 / -0.00924317 | 0.00993299 / -0.00993297 | 0.00794545 / -0.00794546 | 0.00899165 / -0.00899165 | 0.0116114 / -0.0116114 | 0.0119583 / -0.0119583 |
 | Electron isol. eff. (syst) |    NA    | 0.00806125 / -0.00806117 | 0.00725848 / -0.00725845 | 0.00806227 / -0.00806228 | 0 / 0 | 0.00725364 / -0.00725368 | 0.00789747 / -0.00789742 | 0.00730999 / -0.00730995 | 0.00789911 / -0.00789909 | 0.00655819 / -0.0065582 | 0.00710238 / -0.00710246 | 0.0100477 / -0.0100477 | 0.00748585 / -0.00748585 |
