 |       | #it{tHq}      | #it{tWH}      | #it{tWZ}      | #it{t#bar{t}}      | #it{t#bar{t}W}      | #it{t#bar{t}Z}      | #it{t#bar{t}H}      | #it{tZq}      | #it{tW}      | Z+jets      | Diboson      | minor bkgs      | minor bkgs |
 | Luminosity |    NA    | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 |
 | Pile-up rew. |    NA    | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0.00932538 / -0.00932605 | -0.00585873 / 0.00585847 | -0.00720721 / 0.00720683 | -0.00675629 / 0.00675589 | -0.00571982 / 0.00571958 | 0.0137991 / -0.0138007 | 0.0161655 / -0.0161677 | 0.00531043 / -0.00531066 | 0.0434777 / -0.0434934 | -0.0121416 / 0.0121404 |
 | Forward Jet-Vertex-Tagger (fJVT) |    NA    | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00507155 / -0.00507178 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 |
 | JER EffectiveNP 3 |    NA    | -0.00555277 / 0.00555154 | -2.22045e-16 / 0 | 2.22045e-16 / 2.22045e-16 | -0.0549116 / 0.0547822 | 0 / 0 | 0 / 0 | -5.55112e-16 / -3.33067e-16 | 2.22045e-16 / 4.44089e-16 | -0.0178866 / 0.0178737 | -1.11022e-16 / 2.22045e-16 | -0.0244579 / 0.0244334 | 0.00539721 / -0.00539834 |
 | JER EffectiveNP 6 |    NA    | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | -0.0565542 / 0.0565059 | 0.00496157 / -0.00496202 | 0 / 0 | -5.55112e-16 / -3.33067e-16 | 2.22045e-16 / 4.44089e-16 | 0.0111625 / -0.0111646 | 0 / 0 | -0.01173 / 0.0117278 | 0.0162114 / -0.0162159 |
 | JER EffectiveNP 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | -0.0593816 / 0.0593526 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0.0269128 / -0.0269183 | 0 / 0 |
 | b-tag Eigenvar. 0 |    NA    | -0.00974969 / 0.00974904 | -0.0098852 / 0.00988458 | -0.0108685 / 0.0108677 | -0.00715103 / 0.00715071 | -0.00689756 / 0.0068972 | -0.00612598 / 0.00612572 | -0.0110423 / 0.0110416 | -0.0140957 / 0.0140944 | -0.0156402 / 0.0156385 | -0.0106854 / 0.0106846 | -0.0098863 / 0.00988562 | 0.0112593 / -0.0112602 |
 | light-tag Eigenvar. 0 |    NA    | -0.00557826 / 0.00557804 | -0.00824614 / 0.00824571 | -0.00887795 / 0.0088774 | -0.00746258 / 0.00746223 | -0.00869248 / 0.00869193 | -0.00737651 / 0.00737613 | -0.00541415 / 0.0054139 | -0.00926194 / 0.00926137 | -0.0275821 / 0.0275768 | -0.0208591 / 0.0208561 | -0.0296161 / 0.0296101 | -0.00828125 / 0.00828078 |
 | Electron ID eff. |    NA    | 0.0114536 / -0.0114545 | 0.0100973 / -0.0100979 | 0.00932828 / -0.0093289 | 0 / 0 | 0.0100535 / -0.0100542 | 0.0108982 / -0.0108991 | 0.00917904 / -0.00917967 | 0.00986409 / -0.00986475 | 0.00789042 / -0.00789086 | 0.00892932 / -0.00892987 | 0.0115308 / -0.0115317 | 0.0118752 / -0.0118762 |
 | Electron isol. eff. (syst) |    NA    | 0.00800618 / -0.00800653 | 0.00720892 / -0.00720924 | 0.00800719 / -0.00800764 | 0 / 0 | 0.00720412 / -0.00720451 | 0.00784352 / -0.00784389 | 0.00726008 / -0.0072604 | 0.00784516 / -0.00784556 | 0.00651343 / -0.00651373 | 0.00705389 / -0.00705431 | 0.00997899 / -0.00997962 | 0.00743473 / -0.00743511 |
