 |       | #it{tHq}      | #it{tWH}      | #it{tWZ}      | #it{t#bar{t}}      | #it{t#bar{t}W}      | #it{t#bar{t}Z}      | #it{t#bar{t}H}      | #it{tZq}      | #it{tW}      | Z+jets      | Diboson      | minor bkgs      | minor bkgs |
 | Luminosity |    NA    | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 | 0.008 / -0.008 |
 | Pile-up rew. |    NA    | -0.013688 / 0.0136879 | -0.00651453 / 0.00651451 | 0 / 2.22045e-16 | -0.00629669 / 0.00629673 | -0.00645612 / 0.00645611 | -0.00922468 / 0.0092247 | -0.00894689 / 0.00894687 | 0.0214658 / -0.0214658 | 0 / 0 | 0 / 0 | -0.0279073 / 0.0279073 | 0 / 0 |
 | Forward Jet-Vertex-Tagger (fJVT) |    NA    | 0.00899163 / -0.0089916 | 0.00597339 / -0.00597341 | 0.0077282 / -0.00772826 | 0 / 0 | 0 / 0 | 0.00573316 / -0.00573314 | 0.00853364 / -0.00853366 | 0.0137481 / -0.0137481 | 0.00639711 / -0.00639712 | 0.00517218 / -0.00517219 | 0.0111599 / -0.0111599 | 0 / 0 |
 | JER EffectiveNP 1 |    NA    | 0.0154069 / -0.0154069 | 0.00744169 / -0.00744171 | 0.0527507 / -0.0527507 | -0.0321044 / 0.0321043 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.143955 / -0.143955 | 0 / 0 | 0.97905 / -0.897185 | 0.0176818 / -0.0176819 |
 | JER EffectiveNP 2 |    NA    | 0 / 0 | 0 / 0 | -0.0125835 / 0.0125835 | -0.0751222 / 0.0751223 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 0 | -0.0116765 / 0.0116766 | 0.0160056 / -0.0160056 | -0.00553291 / 0.00553291 | 0.00929412 / -0.00929413 | 0.264257 / -0.264257 | 0.0553961 / -0.0553961 |
 | JER EffectiveNP 6 |    NA    | 0.0287927 / -0.0287928 | 0 / 2.22045e-16 | 0 / -1.11022e-16 | -0.0660973 / 0.0660972 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0.0140208 / -0.0140208 | -0.0260438 / 0.0260438 | 0.00968061 / -0.00968062 | 0.168435 / -0.168435 | 0.0355562 / -0.0355561 |
 | JER EffectiveNP 7 |    NA    | 0.0114352 / -0.0114352 | 0 / 0 | -0.00547343 / 0.00547338 | -0.0646515 / 0.0646514 | -1.11022e-16 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -0.0115221 / 0.0115222 | 0.0310065 / -0.0310065 | 0 / 0 | -0.373288 / 0.373288 | 0 / 0 |
 | JER EffectiveNP 1 |    NA    | -0.0131062 / 0.0131062 | 0 / 0 | 0.00696558 / -0.00696557 | -0.0588872 / 0.0588871 | 0 / 0 | 0 / 0 | 0.0060028 / -0.00600282 | 0.00616442 / -0.00616443 | 0.0166517 / -0.0166517 | 0 / -1.11022e-16 | 0.0283429 / -0.0283429 | 0 / 0 |
 | JER EffectiveNP 1 |    NA    | 0.0126609 / -0.0126608 | 0 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | -0.0706751 / 0.070675 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0.0139801 / -0.0139801 | 0.0263834 / -0.0263834 | -0.00718024 / 0.00718023 | 0.0397194 / -0.0397194 | 0 / 0 |
 | JER EffectiveNP 1 |    NA    | 0.0113044 / -0.0113045 | 0 / 0 | 0 / 0 | -0.0576838 / 0.0576838 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0.00515987 / -0.0051599 | 0.0229371 / -0.0229371 | 0.0108497 / -0.0108497 | 0 / 0 | 0.036507 / -0.0365069 | -0.00728084 / 0.00728083 |
 | JES flavour composition |    NA    | 0.00796051 / -0.00796055 | 0.00806912 / -0.00806914 | 0.0446 / -0.0446 | 0.0153647 / -0.0153647 | 0 / 0 | -0.00557233 / 0.00557235 | 0.00643684 / -0.00643679 | 0.0120083 / -0.0120083 | 0.0473372 / -0.0473372 | 0.0231831 / -0.0231831 | 0 / 0 | -0.0637668 / 0.0637667 |
 | JES #eta intercalibration modelling |    NA    | 0.0174582 / -0.0174582 | 0.0112375 / -0.0112376 | 0.0290385 / -0.0290385 | 0.0161913 / -0.0161913 | 0 / 0 | 0 / 0 | 0.00579622 / -0.00579624 | 0.028803 / -0.028803 | 0.0655924 / -0.0655924 | 0.0144159 / -0.0144159 | 0.315838 / -0.315838 | -0.0424722 / 0.0424722 |
 | b-tag Eigenvar. 0 |    NA    | -0.0144944 / 0.0144944 | -0.00918562 / 0.00918571 | -0.0107776 / 0.0107775 | -0.00646613 / 0.00646617 | -0.00705738 / 0.00705737 | -0.00622223 / 0.00622225 | -0.0113805 / 0.0113805 | -0.0251367 / 0.0251367 | -0.0129221 / 0.0129221 | -0.00747318 / 0.00747325 | 0.0431127 / -0.0431127 | 0.0100375 / -0.0100375 |
 | Electron energy scale |    NA    | -0.137647 / 0.137647 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.243031 / 0.243031 |
 | Electron ID eff. |    NA    | 0.00978064 / -0.0097806 | 0.0139258 / -0.0139258 | 0.0132126 / -0.0132126 | 0 / 0 | 0.0127915 / -0.0127915 | 0.0138609 / -0.013861 | 0.0117544 / -0.0117544 | 0.0105879 / -0.0105879 | 0.0118662 / -0.0118662 | 0.0122897 / -0.0122897 | 0.0151845 / -0.0151844 | 0.0145944 / -0.0145945 |
 | Electron isol. eff. (syst) |    NA    | 0.00738214 / -0.00738211 | 0.00811902 / -0.00811904 | 0.00886697 / -0.00886702 | 0 / 0 | 0.00782985 / -0.00782986 | 0.00870064 / -0.00870073 | 0.00796181 / -0.00796184 | 0.0071611 / -0.00716111 | 0.00748217 / -0.00748217 | 0.00761289 / -0.0076129 | 0.0120989 / -0.0120989 | 0.00808379 / -0.0080838 |
 | Muon isol. eff. (syst) |    NA    | 0.0120027 / -0.0120027 | 0.00988073 / -0.00988075 | 0.0120557 / -0.0120558 | 0 / 0 | 0.0103987 / -0.0103987 | 0.0122075 / -0.0122075 | 0.011332 / -0.011332 | 0.0126735 / -0.0126735 | 0.0107561 / -0.0107561 | 0.01087 / -0.01087 | 0 / 0 | 0.0123165 / -0.0123165 |
 | Tau electron veto (tot.) |    NA    | 0.0101804 / -0.0101804 | 0.0112535 / -0.0112536 | 0 / 0 | 0 / 0 | 0.00937052 / -0.00937053 | 0.0113658 / -0.0113658 | 0.00896729 / -0.00896731 | 0 / 0 | 0 / 0 | 0.00944749 / -0.0094475 | 0 / 0 | 0.0117533 / -0.0117533 |
 | Tau reconstruction |    NA    | 0.00696644 / -0.00696648 | 0.00660933 / -0.00660934 | 0 / 0 | 0 / 0 | 0.00639889 / -0.00639884 | 0.00689349 / -0.00689346 | 0.00696055 / -0.00696051 | 0 / 0 | 0 / 0 | 0.0059999 / -0.00599991 | 0 / 0 | 0.0063635 / -0.00636341 |
