 |       | #it{tHq}      | #it{tWH}      | #it{tWZ}      | #it{t#bar{t}}      | #it{t#bar{t}W}      | #it{t#bar{t}Z}      | #it{t#bar{t}H}      | #it{tZq}      | #it{tW}      | Z+jets      | Diboson      | minor bkgs      | minor bkgs |
 | Luminosity |    NA    | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 | 0.00794502 / -0.00794545 |
 | Pile-up rew. |    NA    | -0.0135709 / 0.0135693 | -0.00645878 / 0.00645841 | -1.11022e-16 / 0 | -0.00624281 / 0.00624252 | -0.00640088 / 0.00640052 | -0.00914576 / 0.00914506 | -0.00887035 / 0.00886965 | 0.0212819 / -0.0212857 | 0 / 0 | 0 / 0 | -0.0276689 / 0.0276623 | 0 / 0 |
 | Forward Jet-Vertex-Tagger (fJVT) |    NA    | 0.00892956 / -0.00893008 | 0.00593227 / -0.00593253 | 0.00767491 / -0.00767537 | 0 / 0 | 0 / 0 | 0.0056937 / -0.0056939 | 0.00847476 / -0.00847527 | 0.0136528 / -0.0136541 | 0.00635305 / -0.00635333 | 0.00513659 / -0.00513678 | 0.0110827 / -0.0110836 | 0 / 0 |
 | JER EffectiveNP 1 |    NA    | 0.0135369 / -0.0135542 | 0.00654419 / -0.00654823 | 0.0461568 / -0.0463662 | -0.0283557 / 0.0282831 | 0 / -1.11022e-16 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0.124682 / -0.126354 | 0 / 0 | 0.762818 / -0.828792 | 0.0155318 / -0.0155547 |
 | JER EffectiveNP 2 |    NA    | 0 / 0 | 0 / -2.22045e-16 | -0.0124438 / 0.0124428 | -0.0741934 / 0.0741472 | 0 / -2.22045e-16 | 0 / 2.22045e-16 | -0.0115471 / 0.0115463 | 0.0158379 / -0.0158393 | -0.00547232 / 0.00547213 | 0.00919536 / -0.00919586 | 0.2633 / -0.263138 | 0.0548665 / -0.0548794 |
 | JER EffectiveNP 6 |    NA    | 0.0281664 / -0.0281805 | 2.22045e-16 / 2.22045e-16 | 0 / -1.11022e-16 | -0.0648533 / 0.0647908 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0.0137223 / -0.0137256 | -0.0255219 / 0.0255114 | 0.00947587 / -0.00947742 | 0.163994 / -0.164588 | 0.0347751 / -0.0347967 |
 | JER EffectiveNP 7 |    NA    | 0.0113444 / -0.0113455 | 0 / 0 | -0.00542985 / 0.00542956 | -0.0641311 / 0.0640972 | -2.22045e-16 / 0 | 0 / 0 | 0 / -1.11022e-16 | -0.0114302 / 0.0114293 | 0.0307618 / -0.0307689 | 0 / 0 | -0.370335 / 0.368866 | 0 / 0 |
 | JER EffectiveNP 1 |    NA    | -0.0129623 / 0.0129604 | 0 / 0 | 0.00688774 / -0.00688826 | -0.0582669 / 0.0582304 | 0 / 0 | 0 / 0 | 0.00593577 / -0.00593619 | 0.00609559 / -0.00609601 | 0.0164641 / -0.0164671 | 2.22045e-16 / 0 | 0.0280202 / -0.028029 | 0 / 0 |
 | JER EffectiveNP 1 |    NA    | 0.0125755 / -0.0125766 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / 0 | -0.0702124 / 0.0701786 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0.0138858 / -0.0138871 | 0.0262048 / -0.0262094 | -0.00713215 / 0.0071318 | 0.0394494 / -0.0394598 | 0 / 0 |
 | JER EffectiveNP 1 |    NA    | 0.0112248 / -0.0112257 | 0 / 0 | -1.11022e-16 / 0 | -0.0572941 / 0.0572711 | -1.11022e-16 / 0 | 0 / 0 | 0.00512366 / -0.00512387 | 0.0227744 / -0.0227781 | 0.0107733 / -0.0107742 | 0 / 0 | 0.0362461 / -0.0362553 | -0.00723012 / 0.00722974 |
